0.00	1.00	1.00	15.00	2.67
0.05	1.00	1.00	14.33	5.40
0.10	1.00	1.00	12.33	6.60
0.15	1.00	1.00	13.33	4.73
0.20	1.00	1.00	12.67	5.80
0.25	1.00	1.00	9.67	2.90
0.30	1.00	1.00	7.00	5.03
0.35	1.00	1.00	6.67	3.23
0.40	1.00	1.00	4.67	2.33
0.45	1.00	1.00	1.33	3.10
0.50	1.00	1.00	0.00	3.13
0.55	1.00	1.00	4.00	3.10
0.60	1.00	1.00	4.33	3.33
0.65	1.00	1.00	8.00	4.20
0.70	1.00	1.00	8.00	3.53
0.75	1.00	1.00	11.33	4.10
0.80	1.00	1.00	12.33	5.50
0.85	1.00	1.00	12.00	7.67
0.90	1.00	1.00	14.33	4.87
0.95	1.00	1.00	14.33	5.40
